"","Number","Cell.Line","Treatment","Repetition","Protein.concentration..Âµg.mL.","Prot.mg.ml","g_cell_lines"
"22RV1_70",70,"22RV1","Control","1",91.4789090293071,0.0914789090293072,"prostate"
"22RV1_78",78,"22RV1","Control","2",127.505788017392,0.127505788017392,"prostate"
"22RV1_85",85,"22RV1","Control","3",128.52222033994,0.12852222033994,"prostate"
"22RV1_76",76,"22RV1","ALA10","1",103.111412276244,0.103111412276244,"prostate"
"22RV1_84",84,"22RV1","ALA10","2",138.912417414874,0.138912417414874,"prostate"
"22RV1_91",91,"22RV1","ALA10","3",221.921057089615,0.221921057089615,"prostate"
"22RV1_74",74,"22RV1","Fer1_3","1",166.017279349483,0.166017279349483,"prostate"
"22RV1_82",82,"22RV1","Fer1_3","2",129.651589587216,0.129651589587216,"prostate"
"22RV1_89",89,"22RV1","Fer1_3","3",285.730419560675,0.285730419560675,"prostate"
"22RV1_73",73,"22RV1","PunA10","1",196.397312101191,0.196397312101191,"prostate"
"22RV1_81",81,"22RV1","PunA10","2",113.38867242645,0.11338867242645,"prostate"
"22RV1_88",88,"22RV1","PunA10","3",154.045965328364,0.154045965328364,"prostate"
"22RV1_75",75,"22RV1","PunA10_fer13","1",126.941103393755,0.126941103393755,"prostate"
"22RV1_83",83,"22RV1","PunA10_fer13","2",130.442148060308,0.130442148060308,"prostate"
"22RV1_90",90,"22RV1","PunA10_fer13","3",110.904060082444,0.110904060082444,"prostate"
"22RV1_71",71,"22RV1","PunA2.5","1",190.072844316449,0.190072844316449,"prostate"
"22RV1_79",79,"22RV1","PunA2.5","2",137.895985092326,0.137895985092326,"prostate"
"22RV1_86",86,"22RV1","PunA2.5","3",115.082726297363,0.115082726297363,"prostate"
"22RV1_72",72,"22RV1","PunA5","1",253.995143712237,0.253995143712237,"prostate"
"22RV1_80",80,"22RV1","PunA5","2",168.388954768762,0.168388954768762,"prostate"
"22RV1_87",87,"22RV1","PunA5","3",96.3351967925914,0.0963351967925914,"prostate"
"LNCaP_92",92,"LNCaP","Control","1",93.2858998249478,0.0932858998249478,"prostate"
"LNCaP_99",99,"LNCaP","Control","2",145.349822124344,0.145349822124344,"prostate"
"LNCaP_106",106,"LNCaP","Control","3",172.454684058953,0.172454684058953,"prostate"
"LNCaP_98",98,"LNCaP","ALA10","1",143.768705178158,0.143768705178158,"prostate"
"LNCaP_105",105,"LNCaP","ALA10","2",74.6513072449037,0.0746513072449038,"prostate"
"LNCaP_112",112,"LNCaP","ALA10","3",86.1708735671128,0.0861708735671128,"prostate"
"LNCaP_96",96,"LNCaP","Fer1_3","1",90.9142244056695,0.0909142244056695,"prostate"
"LNCaP_103",103,"LNCaP","Fer1_3","2",80.5240273307358,0.0805240273307358,"prostate"
"LNCaP_110",110,"LNCaP","Fer1_3","3",253.204585239144,0.253204585239144,"prostate"
"LNCaP_95",95,"LNCaP","PunA10","1",77.4747303630922,0.0774747303630922,"prostate"
"LNCaP_102",102,"LNCaP","PunA10","2",78.8299734598227,0.0788299734598227,"prostate"
"LNCaP_109",109,"LNCaP","PunA10","3",184.5389350048,0.1845389350048,"prostate"
"LNCaP_97",97,"LNCaP","PunA10_fer13","1",84.3638827714721,0.0843638827714722,"prostate"
"LNCaP_104",104,"LNCaP","PunA10_fer13","2",76.4582980405444,0.0764582980405444,"prostate"
"LNCaP_111",111,"LNCaP","PunA10_fer13","3",125.924671071207,0.125924671071207,"prostate"
"LNCaP_93",93,"LNCaP","PunA2.5","1",91.3659721045796,0.0913659721045796,"prostate"
"LNCaP_100",100,"LNCaP","PunA2.5","2",76.9100457394545,0.0769100457394545,"prostate"
"LNCaP_107",107,"LNCaP","PunA2.5","3",154.836523801457,0.154836523801457,"prostate"
"LNCaP_94",94,"LNCaP","PunA5","1",164.77497317748,0.16477497317748,"prostate"
"LNCaP_101",101,"LNCaP","PunA5","2",167.485459370941,0.167485459370941,"prostate"
"LNCaP_108",108,"LNCaP","PunA5","3",189.282285843356,0.189282285843356,"prostate"
"PC3_49",49,"PC3","Control","1",173.358179456773,0.173358179456773,"prostate"
"PC3_56",56,"PC3","Control","2",246.315432830764,0.246315432830764,"prostate"
"PC3_63",63,"PC3","Control","3",207.803941498673,0.207803941498673,"prostate"
"PC3_55",55,"PC3","ALA10","1",414.930261448981,0.414930261448981,"prostate"
"PC3_62",62,"PC3","ALA10","2",257.722062228246,0.257722062228246,"prostate"
"PC3_69",69,"PC3","ALA10","3",231.068947992546,0.231068947992546,"prostate"
"PC3_53",53,"PC3","Fer1_3","1",410.864532158789,0.410864532158789,"prostate"
"PC3_60",60,"PC3","Fer1_3","2",275.001411711559,0.275001411711559,"prostate"
"PC3_67",67,"PC3","Fer1_3","3",257.49618837879,0.25749618837879,"prostate"
"PC3_52",52,"PC3","PunA10","1",278.502456378113,0.278502456378113,"prostate"
"PC3_59",59,"PC3","PunA10","2",238.071037325654,0.238071037325654,"prostate"
"PC3_66",66,"PC3","PunA10","3",233.553560336552,0.233553560336552,"prostate"
"PC3_54",54,"PC3","PunA10_fer13","1",331.695747924784,0.331695747924784,"prostate"
"PC3_61",61,"PC3","PunA10_fer13","2",425.885143147552,0.425885143147552,"prostate"
"PC3_68",68,"PC3","PunA10_fer13","3",267.660511604269,0.267660511604269,"prostate"
"PC3_50",50,"PC3","PunA2.5","1",415.720819922073,0.415720819922073,"prostate"
"PC3_57",57,"PC3","PunA2.5","2",209.949743068496,0.209949743068496,"prostate"
"PC3_64",64,"PC3","PunA2.5","3",239.652154271839,0.239652154271839,"prostate"
"PC3_51",51,"PC3","PunA5","1",302.106273646169,0.302106273646169,"prostate"
"PC3_58",58,"PC3","PunA5","2",278.728330227568,0.278728330227568,"prostate"
"PC3_65",65,"PC3","PunA5","3",276.582528657745,0.276582528657745,"prostate"
